 | *-customized seq     METH=transmit method     TYPE=control char type      |
 | VK-virtual key       SCAN=scan code                                       |
 | DELAY=delay in ms.   DB-use delay before      DA-use delay after          |
 | EK-extended keybd    GS-group shift           CP-code page chr            |
 | RA-raw ASCII         SC-scan codes            GT-group transmit           |
 *****************************************************************************
 *****************************************************************************
 *****************************************************************************
   Creation Date and Time == 04/15/2016  01:34:29  (date/time may be invalid)
   Version ID String == (NULL)
   Platform Type == POCKET_PC   Heap Size == 0x2000   UseGridMacroDef == 1
 *****************************************************************************
 *****************************************************************************
 *****************************************************************************


 =============================================================================
   m_rgtcsAppKeyName == DEFAULT_APPLICATION  (0x0000)

   m_rgtcsAppWindowName == (NULL)
   ControlKeyDelay == 0x0
   GlobalSynthCharTable == 0x2d 0x23 0x28 0x22 0x25 0x2e 0x27 0x24 0x26 0x21 
 -----------------------------------------------------------------------------
                                  |15-10  9  8  7  6  5  4  3  2  1  0 |
 IDX    METH  TYPE       VK   SCAN|DELAY  DB DA       EK GS CP RA SC GT| Old
 =============================================================================

 0x0097 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0098 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x0099 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x009a POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x009b POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x009c POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x009d POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x009e POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x009f POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a0 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a1 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a2 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a3 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a4 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a5 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a6 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a7 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a8 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00a9 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00aa POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ab POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ac POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ad POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ae POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00af POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b0 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b1 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b2 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b3 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b4 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b5 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b6 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b7 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b8 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00b9 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ba POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00bb POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00bc POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00bd POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00be POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00bf POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c0 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c1 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c2 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c3 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c4 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c5 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c6 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c7 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c8 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00c9 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ca POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00cb POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00cc POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00cd POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ce POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00cf POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d0 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d1 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d2 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d3 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d4 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d5 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d6 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d7 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d8 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00d9 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00da POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00db POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00dc POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00dd POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00de POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00df POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e0 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e1 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e2 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e3 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e4 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e5 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e6 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e7 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e8 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00e9 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ea POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00eb POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ec POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ed POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ee POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00ef POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f0 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f1 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f2 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f3 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f4 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f5 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f6 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f7 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f8 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00f9 POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00fa POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00fb POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
 0x00fc POST_CHAR PLAIN      0x00 0x00|       0   0       0  0  0  0  0  0 |
